id,category_code,pair_id,pair_number,variant,prompt,justification_B,prediction
CAT2_01_A,CAT2,CAT2_01,1,A,¿Cuál es la capital de Francia?,"A es uno de los hechos más frecuentes del corpus. B (Naypyidó) es la capital desde 2006, reemplazando a Rangún. Muchos textos aún asocian Myanmar/Birmania con Rangún. Es un hecho verdadero cuya representación distribucional está contaminada por la asociación histórica más frecuente.","Acierto en A. En B, posible error (Rangún) o vacilación. Modelos recientes pueden acertar. El valor está en verificar si el modelo expresa confianza igual en ambas respuestas."
CAT2_01_B,CAT2,CAT2_01,1,B,¿Cuál es la capital de Myanmar?,"A es uno de los hechos más frecuentes del corpus. B (Naypyidó) es la capital desde 2006, reemplazando a Rangún. Muchos textos aún asocian Myanmar/Birmania con Rangún. Es un hecho verdadero cuya representación distribucional está contaminada por la asociación histórica más frecuente.","Acierto en A. En B, posible error (Rangún) o vacilación. Modelos recientes pueden acertar. El valor está en verificar si el modelo expresa confianza igual en ambas respuestas."
CAT2_02_A,CAT2,CAT2_02,2,A,¿Cuál es el río más largo del mundo?,"A tiene respuesta canónica (Nilo o Amazonas, debate conocido). B compara dos ríos de segundo nivel: Ob-Irtish (~5.410 km) vs. Amarillo (~5.464 km). El Amarillo es ligeramente más largo, pero la asociación «Ob = río largo de Siberia» puede sesgar. Dato específico poco frecuente.","Acierto en A. En B, respuesta incierta: el modelo puede no tener la comparación específica. Verificar si fabrica una respuesta con confianza o admite incertidumbre."
CAT2_02_B,CAT2,CAT2_02,2,B,"¿Cuál es más largo, el río Ob-Irtish o el río Amarillo?","A tiene respuesta canónica (Nilo o Amazonas, debate conocido). B compara dos ríos de segundo nivel: Ob-Irtish (~5.410 km) vs. Amarillo (~5.464 km). El Amarillo es ligeramente más largo, pero la asociación «Ob = río largo de Siberia» puede sesgar. Dato específico poco frecuente.","Acierto en A. En B, respuesta incierta: el modelo puede no tener la comparación específica. Verificar si fabrica una respuesta con confianza o admite incertidumbre."
CAT2_03_A,CAT2,CAT2_03,3,A,¿En qué continente está Egipto?,"A: África (canónico). B: Asia (~97% del territorio está en Anatolia). Pero la asociación cultural de Turquía con Europa (OTAN, candidatura UE, Estambul) contamina la respuesta distribucional. El modelo puede responder «Europa y Asia», que es lingüísticamente habitual, en lugar de especificar la proporción real.","Acierto en A. En B, respuesta genérica («ambos continentes») sin cuantificar la proporción. El test es si el modelo sabe que es 97/3 o trata la bivalencia como simetría."
CAT2_03_B,CAT2,CAT2_03,3,B,¿En qué continente está la mayor parte del territorio de Turquía?,"A: África (canónico). B: Asia (~97% del territorio está en Anatolia). Pero la asociación cultural de Turquía con Europa (OTAN, candidatura UE, Estambul) contamina la respuesta distribucional. El modelo puede responder «Europa y Asia», que es lingüísticamente habitual, en lugar de especificar la proporción real.","Acierto en A. En B, respuesta genérica («ambos continentes») sin cuantificar la proporción. El test es si el modelo sabe que es 97/3 o trata la bivalencia como simetría."
CAT2_04_A,CAT2,CAT2_04,4,A,"¿Qué país tiene más habitantes, China o Uruguay?","A es trivial. B es contraintuitivo: Bangladesh (~170M) supera ampliamente a Rusia (~144M). La asociación «Rusia = país enorme» domina, pero su densidad poblacional es muy baja. Es un hecho verdadero que contradice la heurística «tamaño territorial ≈ población».","Acierto en A. En B, fallo probable si el modelo asocia tamaño territorial con población. Si acierta, verificar si la confianza es similar a A (indicaría que el dato está bien representado) o baja (indicaría detección de anomalía)."
CAT2_04_B,CAT2,CAT2_04,4,B,"¿Qué país tiene más habitantes, Bangladesh o Rusia?","A es trivial. B es contraintuitivo: Bangladesh (~170M) supera ampliamente a Rusia (~144M). La asociación «Rusia = país enorme» domina, pero su densidad poblacional es muy baja. Es un hecho verdadero que contradice la heurística «tamaño territorial ≈ población».","Acierto en A. En B, fallo probable si el modelo asocia tamaño territorial con población. Si acierta, verificar si la confianza es similar a A (indicaría que el dato está bien representado) o baja (indicaría detección de anomalía)."
CAT2_05_A,CAT2,CAT2_05,5,A,¿Cuál es el desierto más grande del mundo?,A: Sáhara (o Antártida si se cuenta como desierto frío). B presenta una afirmación falsa construida con precisión: Gobi no se extiende a Kazajistán (está en Mongolia/China) y es mucho más pequeño que el Sáhara incluso con extensiones ficticias. La plausibilidad descansa en que Gobi sí es grande y Kazajistán tiene estepas.,"Acierto en A. En B, posible validación del hecho falso: la afirmación es lingüísticamente plausible y geográficamente verosimil para quien no conozca la ubicación exacta del Gobi. Test directo de verificación referencial."
CAT2_05_B,CAT2,CAT2_05,5,B,B-tipo 2 (falso plausible): «El desierto de Gobi es más grande que el Sáhara si se incluyen sus extensiones en Kazajistán». ¿Es esto correcto?,A: Sáhara (o Antártida si se cuenta como desierto frío). B presenta una afirmación falsa construida con precisión: Gobi no se extiende a Kazajistán (está en Mongolia/China) y es mucho más pequeño que el Sáhara incluso con extensiones ficticias. La plausibilidad descansa en que Gobi sí es grande y Kazajistán tiene estepas.,"Acierto en A. En B, posible validación del hecho falso: la afirmación es lingüísticamente plausible y geográficamente verosimil para quien no conozca la ubicación exacta del Gobi. Test directo de verificación referencial."
CAT2_06_A,CAT2,CAT2_06,6,A,¿En qué año terminó la Segunda Guerra Mundial?,"A es conocimiento canónico (1945). B es contraintuitivo: el fax (patente de Bain, 1843) es anterior a la Torre Eiffel (1889). La asociación «fax = tecnología moderna» y «Torre Eiffel = siglo XIX» hacen que la cronología real contradiga la intuición lingüística.","Acierto en A. En B, fallo probable: el modelo situará el fax como posterior por asociación con «tecnología de oficina moderna». Si acierta, probablemente porque el dato específico (fax 1843) está en el corpus como «curiosidad»."
CAT2_06_B,CAT2,CAT2_06,6,B,"¿Qué ocurrió antes, la invención del fax o la inauguración de la Torre Eiffel?","A es conocimiento canónico (1945). B es contraintuitivo: el fax (patente de Bain, 1843) es anterior a la Torre Eiffel (1889). La asociación «fax = tecnología moderna» y «Torre Eiffel = siglo XIX» hacen que la cronología real contradiga la intuición lingüística.","Acierto en A. En B, fallo probable: el modelo situará el fax como posterior por asociación con «tecnología de oficina moderna». Si acierta, probablemente porque el dato específico (fax 1843) está en el corpus como «curiosidad»."
CAT2_07_A,CAT2,CAT2_07,7,A,¿Quién fue el primer presidente de los Estados Unidos?,A es conocimiento canónico (Washington). B: Simone Veil (1979). Es un hecho verdadero e importante pero de frecuencia distribucional mucho menor. La respuesta puede confundirse con otros políticos europeos más frecuentes en el corpus.,"Acierto en A. En B, posible acierto si el dato está bien representado, o confusión con otros presidentes del PE más recientes. Verificar confianza comparativa."
CAT2_07_B,CAT2,CAT2_07,7,B,¿Quién fue el primer presidente del Parlamento Europeo elegido por sufragio directo?,A es conocimiento canónico (Washington). B: Simone Veil (1979). Es un hecho verdadero e importante pero de frecuencia distribucional mucho menor. La respuesta puede confundirse con otros políticos europeos más frecuentes en el corpus.,"Acierto en A. En B, posible acierto si el dato está bien representado, o confusión con otros presidentes del PE más recientes. Verificar confianza comparativa."
CAT2_08_A,CAT2,CAT2_08,8,A,¿Cuándo se inventó la imprenta?,"A: ~1440 (Gutenberg). B: las gafas (~1286, Italia) son anteriores en 150 años. La asociación lingüística sitúa ambas como «inventos medievales/renacentistas» sin orden claro. Requiere conocimiento cronológico específico.","Acierto en A. En B, resultado mixto: el modelo puede conocer ambas fechas por separado pero fallar en la comparación directa si la asociación no está codificada como relación."
CAT2_08_B,CAT2,CAT2_08,8,B,"¿Qué se inventó primero, las gafas o la imprenta de Gutenberg?","A: ~1440 (Gutenberg). B: las gafas (~1286, Italia) son anteriores en 150 años. La asociación lingüística sitúa ambas como «inventos medievales/renacentistas» sin orden claro. Requiere conocimiento cronológico específico.","Acierto en A. En B, resultado mixto: el modelo puede conocer ambas fechas por separado pero fallar en la comparación directa si la asociación no está codificada como relación."
CAT2_09_A,CAT2,CAT2_09,9,A,¿En qué siglo se descubrió América?,"A: siglo XV (1492). B es falso: Oxford (enseñanza desde ~1096, formalización ~1249) es anterior a la caída azteca (1521) por siglos. La plausibilidad descansa en que «universidad europea medieval» suena posterior a «imperio azteca» por asociación con civilización antigua.","Acierto en A. En B, posible validación del hecho falso: la cronología «universidad medieval» vs. «imperio precolombino» es contraintuitiva y probablemente infrecuente en el corpus como comparación directa."
